,Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade,data,NM_LOCALIDADE,LAT,LONG,ALT
53,150140 Belém,93,93,48789.76,46284.23,0.0,0.0,2505.53,0.0,0,524.62,524.62,347,3.7,0,0.0,2018-01-01 00:01:00,BELÉM,-1.459845,-48.4878256874876,8.471477
54,150140 Belém,93,93,48789.76,46284.23,0.0,0.0,2505.53,0.0,0,524.62,524.62,347,3.7,0,0.0,2018-01-01 00:01:00,BELÉM,-6.69404260977741,-35.5362740820625,152.025572
55,150140 Belém,93,93,48789.76,46284.23,0.0,0.0,2505.53,0.0,0,524.62,524.62,347,3.7,0,0.0,2018-01-01 00:01:00,BELÉM,-9.56864823133606,-36.4944979894058,319.517024
56,150157 Bom Jesus do Tocantins,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,8,4.0,0,0.0,2018-01-01 00:01:00,BOM JESUS DO TOCANTINS,-5.04736270432029,-48.5990399590615,172.278567
57,150157 Bom Jesus do Tocantins,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,8,4.0,0,0.0,2018-01-01 00:01:00,BOM JESUS DO TOCANTINS,-8.96334801285521,-48.1663804935405,188.018168
58,150170 Bragança,4,4,6492.26,5847.02,0.0,0.0,645.24,0.0,0,1623.06,1623.06,20,5.0,0,0.0,2018-01-01 00:01:00,BRAGANÇA,-1.05352395620564,-46.765754213664,16.040139
59,150172 Brasil Novo,5,5,2427.95,2299.4,0.0,0.0,128.55,0.0,0,485.59,485.59,10,2.0,0,0.0,2018-01-01 00:01:00,BRASIL NOVO,-3.29780370400837,-52.5434411922788,189.051168
60,150180 Breves,3,3,1573.57,1496.44,0.0,0.0,77.13,0.0,0,524.52,524.52,17,5.7,0,0.0,2018-01-01 00:01:00,BREVES,-1.6907365,-50.4808947990195,9.90157
61,150190 Bujaru,18,18,9009.42,8546.64,0.0,0.0,462.78,0.0,0,500.52,500.52,54,3.0,0,0.0,2018-01-01 00:01:00,BUJARU,-1.51399146230061,-48.035875014396,17.010542
62,150200 Cachoeira do Arari,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-01-01 00:01:00,CACHOEIRA DO ARARI,-1.00878626563928,-48.9606675773871,9.563874
