"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210409 Formosa da Serra Negra";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"210410 Fortaleza dos Nogueiras";3;3;1461,57;1384,44;-;-;77,13;-;-;487,19;487,19;9;3,0;-;-
"210440 Gonçalves Dias";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210450 Governador Archer";3;3;1556,80;1427,03;-;-;129,77;-;-;518,93;518,93;6;2,0;-;-
"210460 Governador Eugênio Barros";6;6;2971,14;2816,88;-;-;154,26;-;-;495,19;495,19;12;2,0;-;-
"210465 Governador Newton Bello";2;2;990,38;938,96;-;-;51,42;-;-;495,19;495,19;4;2,0;-;-
"210467 Governador Nunes Freire";8;8;3953,52;3747,84;-;-;205,68;-;-;494,19;494,19;15;1,9;-;-
"210480 Grajaú";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;5;2,5;-;-
"210490 Guimarães";2;2;668,86;601,28;-;-;67,58;-;-;334,43;334,43;5;2,5;-;-
"210510 Icatu";11;11;5415,09;5132,28;-;-;282,81;-;-;492,28;492,28;22;2,0;-;-
"210520 Igarapé Grande";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;30;30,0;-;-
"210530 Imperatriz";3;3;1525,57;1448,44;-;-;77,13;-;-;508,52;508,52;11;3,7;-;-
"210535 Itaipava do Grajaú";3;3;1668,03;1485,62;-;-;182,41;-;-;556,01;556,01;3;1,0;-;-
"210540 Itapecuru Mirim";3;3;1544,93;1460,42;-;-;84,51;-;-;514,98;514,98;13;4,3;-;-
"210542 Itinga do Maranhão";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;4;2,0;-;-
"210560 Joselândia";3;3;1437,57;1360,44;-;-;77,13;-;-;479,19;479,19;6;2,0;-;-
"210570 Lago da Pedra";46;46;22418,74;21236,08;-;-;1182,66;-;-;487,36;487,36;47;1,0;-;-
"210580 Lago do Junco";1;1;479,19;453,48;-;-;25,71;-;-;479,19;479,19;2;2,0;-;-
"210594 Lago dos Rodrigues";2;2;682,32;630,10;-;-;52,22;-;-;341,16;341,16;-;-;-;-
"210590 Lago Verde";2;2;958,38;906,96;-;-;51,42;-;-;479,19;479,19;6;3,0;-;-
"210600 Lima Campos";1;1;495,19;469,48;-;-;25,71;-;-;495,19;495,19;2;2,0;-;-
"210630 Magalhães de Almeida";6;6;2963,14;2808,88;-;-;154,26;-;-;493,86;493,86;35;5,8;-;-
"210640 Mata Roma";4;4;1948,76;1845,92;-;-;102,84;-;-;487,19;487,19;9;2,3;-;-
"210670 Mirador";15;15;7227,85;6842,20;-;-;385,65;-;-;481,86;481,86;61;4,1;-;-
"210675 Miranda do Norte";3;3;1469,57;1392,44;-;-;77,13;-;-;489,86;489,86;6;2,0;-;-
"210680 Mirinzal";4;4;1916,76;1813,92;-;-;102,84;-;-;479,19;479,19;8;2,0;-;-
"210690 Monção";1;1;55,27;43,65;-;-;11,62;-;-;55,27;55,27;1;1,0;-;-
